country,ghg_2024,ghg_per_capita_2024,pct_change_2015_2024,slope_post_paris,slope_pc_post_paris,slope_long_term,pct_change_pre_post_paris,pct_from_peak,pct_change_2005_2024,reduction_ratio,avg_ghg_post_paris,cat_rating,on_track
Japan,1007.1591796875,8.138460159301758,-20.046685192397703,-28.943483664769847,-0.20160122495707045,-11.830269775390544,-12.526964285441029,-25.451390263016794,-24.272015218550884,0.8888888888888888,1135.6343505859375,Insufficient,0
Kazakhstan,372.2305908203125,18.07596206665039,-4.349644739622047,-4.733633700283423,-0.5298628720369604,10.330103026169983,22.891913043550506,-10.422152862877965,59.126060212133154,0.5555555555555556,380.2793395996094,Insufficient,0
Kenya,99.4806671142578,1.7628118991851809,9.093408427526748,1.0332507509172784,-0.016750886946012122,1.9724047968937664,12.25610783150918,-4.968780817466513,60.28087902129931,0.4444444444444444,96.6125701904297,Almost Sufficient,1
Mexico,635.7186279296875,4.857968807220459,-7.082567281760518,-4.426389752012152,-0.0791339036190098,-1.541360473632781,-6.68775825567758,-10.604128549763981,-8.216003171658684,0.5555555555555556,648.6603332519531,Highly Insufficient,0
Morocco,101.8474349975586,2.6744823455810547,-7.42034170978841,-0.21318021832098158,-0.03616928042787468,2.062042814401476,25.594352857378684,-10.017460836718593,48.88721715550076,0.7777777777777778,103.59254531860351,Almost Sufficient,1
Nepal,58.83924865722656,1.9843897819519043,20.13589748141975,0.9519707882042665,0.016130488569086603,0.5075852995652379,14.718690016290498,-0.4298382887165494,20.31671333236406,0.3333333333333333,55.81092758178711,Almost Sufficient,1
New Zealand,81.92451477050781,15.71258544921875,-8.053473816580842,-0.9036441224992812,-0.41728706359859,-0.6397016554612306,-3.5633101773614855,-39.84325647873618,-6.896970295938343,0.6666666666666666,88.00461196899414,Highly Insufficient,0
Nigeria,384.6824340820313,1.6532719135284424,6.0602814856767555,2.818356600674619,-0.025877450451703414,-5.355033897986809,-1.5028314060228956,-34.446489736476515,-17.144988123459765,0.3333333333333333,385.9712188720703,Almost Sufficient,1
Norway,56.18870162963867,10.075697898864746,-10.02015234002233,-0.6212040987881058,-0.19934404546562268,-0.01676322643573239,-1.9443476439929879,-11.448988363978414,-6.082520450395232,0.6666666666666666,60.07807884216309,Almost Sufficient,1
Peru,151.0709686279297,4.414975643157959,7.461522915137891,0.6293869480941874,-0.039135967601425424,0.01911952092098402,3.3442067659783143,-19.10193271173104,3.2019691852802437,0.3333333333333333,142.02285766601562,Insufficient,0
Philippines,305.7161560058594,2.639040946960449,24.475704689614332,4.865127563476272,0.017751971158113996,4.221800079345696,12.591153241803948,-14.600975067454378,38.784273500118886,0.1111111111111111,273.44068450927733,Almost Sufficient,1
Russia,2729.234619140625,18.84564781188965,7.586145369333335,15.484315814392165,0.11535185611607776,31.599955960787142,12.571850243795774,-21.177756350701358,33.23388316763106,0.3333333333333333,2556.728125,Critically Insufficient,0
Saudi Arabia,821.8385009765625,24.198230743408203,11.509316678612178,8.09473026159991,-0.04445939497512601,19.573031334510166,28.743784645064668,-0.24221911650670097,64.25557651551178,0.2222222222222222,784.8345581054688,Critically Insufficient,0
Singapore,61.18090057373047,10.489856719970703,10.368923240857493,0.4200329867275832,0.028891887086806397,0.6515466132530764,16.711940312195647,-4.354897335434803,39.058629044998305,0.4444444444444444,56.393524932861325,Highly Insufficient,0
South Africa,542.7285766601562,8.479182243347168,-3.8568558848306984,-2.958912982362371,-0.1788893323955936,1.0369989013671987,-4.28636382848562,-11.525931707096376,2.533133342138123,0.4444444444444444,551.5934265136718,Insufficient,0
South Korea,630.5665283203125,12.192497253417969,-6.061270931319202,-6.396414092091782,-0.14208202362058484,8.035319237342232,9.779304323512967,-11.069951915343161,18.121962686458133,0.5555555555555556,663.8171142578125,Insufficient,0
Switzerland,40.11027145385742,4.495669841766357,-13.674024269772453,-0.8409971988561429,-0.1386956388299971,-0.6238038840660639,-15.198279707680618,-29.930560752004766,-25.89318455727245,0.6666666666666666,43.54543266296387,Insufficient,0
Thailand,456.7136535644531,6.372629642486572,2.4055699306133773,0.6452579382694505,-0.001748061902594292,4.768727064866279,4.534908341410728,-5.13581869963138,14.388064917223739,0.3333333333333333,457.7996856689453,Critically Insufficient,0
Turkey,680.0115966796875,7.77388858795166,34.66547029128403,18.60745794122692,0.15357050751193202,15.468815565842782,42.01845398467113,0.0,101.09234088875318,0.3333333333333333,580.687857055664,Critically Insufficient,0
United Arab Emirates,262.1297302246094,23.77133560180664,0.18879586473297838,-0.014825439453323196,-0.6354453000155041,6.454562665499148,23.975084167762322,-1.3071694162338487,85.76680601783161,0.3333333333333333,250.07179260253906,Insufficient,0
United Kingdom,390.2754211425781,5.644860744476318,-24.769281903111835,-15.324243164061162,-0.26716740926104465,-15.721384793794984,-28.578514355305167,-54.53820096537198,-45.40837770663795,0.7777777777777778,442.6587768554688,Insufficient,0
United States,6054.30810546875,17.527048110961914,-5.52374782738539,-42.392039535979684,-0.2387570121071324,-57.1501870492786,-8.912849778243698,-18.502209418669548,-18.502209418669548,0.5555555555555556,6208.75029296875,Critically Insufficient,0
Vietnam,583.496826171875,5.7779011726379395,12.092305787403125,9.394809792257053,0.04538721604779639,13.809628155047976,47.04303929273979,0.0,93.38608289465225,0.3333333333333333,535.0921508789063,Critically Insufficient,0
